Student ID,First name,Last name,Gender,Date of birth,Classname,Country
576089,Jimmy,Herzog,Female,27/02/1985,5203004,Zambia
528193,Lelah,Hickle,Female,26/09/1983,5203002,Panama
580365,Marc,Gleason,Female,11/2/1983,5203001,Azerbaijan
564255,Marietta,Wuckert,Female,30/01/1983,5203001,Montenegro
520075,Amir,Paucek,Female,8/6/1986,5203002,Monaco
542492,Karine,Buckridge,Male,1/11/1982,5203003,Poland
524985,Abbigail,Roberts,Female,15/01/1983,5203001,Nigeria
549335,Esta,Rolfson,Male,2/3/1980,5203003,Bahrain
537267,Edyth,Marquardt,Female,11/2/1981,5203004,Montenegro
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
504350,Elvie,Kuhic,Male,1/1/1988,5203003,Serbia
500266,Fritz,Abernathy,Female,2/4/1987,5203002,Chile
527499,Alphonso,Kilback,Male,1/6/1983,5203003,Greenland
540883,Carlos,OHara,Female,28/08/1984,5203002,Nigeria
564371,Susana,McClure,Male,8/7/1982,5203001,Austria
571369,Javier,Robel,Female,11/6/1984,5203003,Montenegro
